location_id,display_name
168,玉龙雪山冰川公园
169,田子坊
170,香山公园
171,武侯祠
172,上海新天地
173,武汉长江大桥
174,九龙城
175,五四广场
176,广汉三星堆博物馆
177,鸟巢(国家体育场)
178,东望洋炮台
179,香港國際七人欖球賽
180,张家界大峡谷
181,云南民族村
182,太古汇
183,浅水湾泳滩
184,铜锣湾
185,芦笛岩
186,西贡东郊野公园
187,漓江民俗风情园
188,北戴河夏日避暑胜地
189,鼓浪屿
190,纳木错
191,鸡鸣寺
192,北京首都博物馆
193,九寨沟民族艺术中心
194,龟山公园
195,天津之眼摩天轮
196,澳门博物馆
197,深水埗
198,武隆天坑三桥
199,山塘街
200,日坛公园
201,梅里雪山
202,三峡大坝
203,苏州古运河
204,澳门银河酒店影舞银光
205,孔庙和国子监博物馆
206,圣保罗大教堂遗址(大三巴牌坊)
207,碑林博物馆
208,九龙公园
209,昂坪360缆车
210,大明湖公园
211,五大道
212,束河古镇
213,洱海湖
214,胡雪岩故居
215,路环岛
216,中国国家博物馆
217,厦门大学
218,香港海防博物馆
219,尖东
220,大雁塔
221,香港科学馆
222,长江三峡
223,失落的空间水族馆
224,六榕寺和花塔
225,中山公园
226,平谷将军关长城
227,世纪公园
228,西溪湿地公园
229,三峡博物馆
230,后海
231,COCO PARK
232,西安博物院
233,圆明园
234,新疆博物馆
235,桂林老寨山
236,赤柱
237,石室圣心大教堂
238,香港大球场
239,大澳
240,龙井茶田
241,沈阳故宫
242,深圳湾公园
243,杜甫草堂
244,南大屿郊野公园
245,尖沙咀海滨长廊
246,南京总统府
247,故宫角楼
248,珠江
249,南丫岛
250,朱家角古镇
251,翠湖
252,凤凰径
253,东望洋灯塔
254,SoHo 荷南美食区
255,三峡
256,沙面岛
257,金鞭溪
258,西海大峡谷
259,苍山
260,复兴公园
261,嘉道理农场暨植物园
262,南普陀寺
263,趵突泉公园
264,澳门大熊猫馆
265,天子山云海
266,白云山
267,锦绣中华·民俗村
268,玉佛禅寺
269,西塘古镇
270,八大关
271,丽江木府
272,澳门历史城区
273,星海广场
274,大芬油画村
275,长洲岛
276,同里古镇
277,大雁塔北广场
278,留园
279,苏州博物馆
280,拉卜楞寺
281,陕西历史博物馆
282,虎丘
283,三亚千古情景区
284,平湖秋月
285,凤凰古城
286,石澳
287,午门
288,旧城
289,两江四湖景区
290,大馆
291,Xi'an Urban Passer
292,青岛啤酒博物馆
293,周庄水乡
294,798艺术区
295,新濠天地
296,太阳岛
297,苏堤春晓
298,清华大学
299,北京欢乐谷
300,武夷山风景区
301,明孝陵
302,平江路
303,珠海长隆海洋王国
304,武汉东湖
305,上海人文历史地貌区
306,汉阳陵
307,平遥城墙遗址
308,郑家大屋
309,尤德观鸟园
310,西湖花港观鱼公园
311,故宫珍宝馆
312,太子湾公园
313,圆通寺
314,上海文庙
315,祖庙
316,中国丽江古城
317,紫金山
318,东方明珠
319,网师园
320,豫园
321,南京城墙(明城墙)
322,武夷山九曲溪
323,香港文化博物馆
324,云南石林地质公园
325,金鸡湖
326,尖沙咀
327,广州地铁
328,香港海事博物馆
329,崂山自然风景区
330,瘦西湖
331,古北口长城
332,金茂大厦
333,冈仁波齐峰
334,狮子林
335,金沙遗址博物馆
336,都江堰水利工程
337,澳门旅游塔
338,上海城市历史发展陈列馆
339,中央大街步行街
340,鹿回头公园
341,大足石刻旅游景区
342,陈家祠
343,黄山地质公园
344,故宫九龙壁
345,乐山大佛
346,主教山
347,回坊风情街
348,鸣沙山
349,崇圣寺三塔
350,岳麓山
351,南山佛教文化园
352,故宫御花园
353,日月双塔文化公园
354,峨眉山
355,香港西贡
356,孤山
357,日月塔
358,欢乐海岸
359,文殊院
360,黄果树瀑布
361,玄武湖
362,昆明龙门
363,色拉寺
364,上海城市规划展示馆
365,鼓浪屿环岛路
366,中山陵
367,西汉南越王博物馆
368,普陀山
369,广州塔
370,青城山
371,灵山大佛
372,泰山
373,三亚珠江南田温泉
374,深圳地铁
375,蓝月谷
376,龙华寺
377,印象丽江
378,上海博物馆
379,杭州宋城
380,桂林千古情景区
381,宏村
382,广州图书馆
383,狮子亭观景台
384,乌镇
385,外滩城市雕塑群
386,珠江新城
387,万佛寺
388,南京博物院
389,颐和园长廊
390,松赞林寺
391,黄浦江
392,西安城墙
393,苏州古典园林
394,平安寨
395,长隆欢乐世界
396,花城广场
397,Jerry's Guide & Driver Service
398,玉龙雪山
399,平遥古城
400,北海公园
401,香港公园
402,上海自然博物馆(静安新馆)
403,上海环球金融中心
404,浦东新区
405,滨江大道
406,香港维多利亚海港
407,朝阳剧场
408,黄龙名胜风景区
409,青海湖
410,天际100香港观景台
411,天一阁
412,大屿山
413,景山公园
414,观光缆车
415,宝莲禅寺
416,西湖
417,上海宣传画艺术中心
418,深圳莲花山公园
419,虎跳峡
420,太和殿
421,香港历史博物馆
422,三清山
423,峨眉山金顶
424,颐和园佛香阁
425,云台山地质公园
426,雍和宫
427,长隆野生动物园
428,祈年殿
429,南山寺
430,国家大剧院
431,湖北省博物馆
432,飞来峰
433,哲蚌寺
434,华山
435,漓江景区
436,香港电车（叮叮车）
437,和平饭店
